Distance;Current_Velocity;Target_Velocity;Move;Value;Times
10;40;-160;NO_ACTION;-15,2254328010442;107
11;60;-160;ROLL_LEFT;79,6813282542219;529
11;60;-160;ROLL_RIGHT;82,8521293780302;241
11;60;-160;NO_ACTION;79,7136783259832;345
13;60;-160;ROLL_LEFT;88,6689865696243;579
13;60;-160;ROLL_RIGHT;79,728832198445;521
13;60;-160;NO_ACTION;80,3326551687958;451
13;40;-160;ROLL_LEFT;64,6337729782374;391
13;40;-160;ROLL_RIGHT;73,2584455152054;754
13;40;-160;NO_ACTION;70,2326492605752;648
15;60;-160;ROLL_LEFT;89,3141365925479;2138
15;60;-160;ROLL_RIGHT;-19,5011914980458;280
15;60;-160;NO_ACTION;-18,3448086160203;262
16;60;-160;ROLL_LEFT;85,198093986628;2351
16;60;-160;ROLL_RIGHT;-24,9205111431068;280
16;60;-160;NO_ACTION;-23,7293097475022;269
17;80;-160;ROLL_LEFT;89,7543401756363;1307
17;80;-160;ROLL_RIGHT;-20,4954653464073;179
17;80;-160;NO_ACTION;-19,8529268050908;158
18;80;-160;ROLL_LEFT;88,7812994903096;1202
18;80;-160;ROLL_RIGHT;-22,8844876526486;150
18;80;-160;NO_ACTION;-21,3768030161722;141
19;60;-160;ROLL_LEFT;79,5914969765321;1321
19;60;-160;ROLL_RIGHT;-30,2127558638538;168
19;60;-160;NO_ACTION;-29,9829651735473;189
20;60;-160;ROLL_LEFT;76,1471715484755;1184
20;60;-160;ROLL_RIGHT;-29,1594428195604;143
20;60;-160;NO_ACTION;-32,3904258155389;160
21;60;-160;ROLL_LEFT;71,8947746541737;999
21;60;-160;ROLL_RIGHT;-35,5248436470201;124
21;60;-160;NO_ACTION;-35,096430224744;132
22;60;-160;ROLL_LEFT;68,9537353870318;899
22;60;-160;ROLL_RIGHT;-40,9341502728374;117
22;60;-160;NO_ACTION;-42,6713278357519;93
24;80;-160;ROLL_LEFT;33,9884151164342;527
24;80;-160;ROLL_RIGHT;-78,197404174357;68
24;80;-160;NO_ACTION;-82,6292475698487;57
25;80;-160;ROLL_LEFT;32,0052425686007;409
25;80;-160;ROLL_RIGHT;-87,9796506069234;47
25;80;-160;NO_ACTION;-87,8023170525084;54
25;-60;-160;ROLL_LEFT;-0,297481873386351;131
25;-60;-160;ROLL_RIGHT;15,4842041382329;479
25;-60;-160;NO_ACTION;3,22305129064834;125
24;-80;-160;ROLL_LEFT;15,7930281683667;375
24;-80;-160;ROLL_RIGHT;3,9911749197625;115
24;-80;-160;NO_ACTION;7,66807663729579;124
23;-100;-160;ROLL_LEFT;21,7100107267353;294
23;-100;-160;ROLL_RIGHT;9,11521452677059;74
23;-100;-160;NO_ACTION;28,8865715640794;98
22;-80;-160;ROLL_LEFT;10,1539612855669;60
22;-80;-160;ROLL_RIGHT;10,643807365473;69
22;-80;-160;NO_ACTION;17,5413215292398;273
21;-60;-160;ROLL_LEFT;11,4702473077497;348
21;-60;-160;ROLL_RIGHT;10,6119862640494;351
21;-60;-160;NO_ACTION;10,1568609555359;274
20;-80;-160;ROLL_LEFT;17,7469879208137;73
20;-80;-160;ROLL_RIGHT;19,6684012726728;71
20;-80;-160;NO_ACTION;23,0429741107113;368
19;-80;-160;ROLL_LEFT;24,9751798375923;81
19;-80;-160;ROLL_RIGHT;29,4851633381222;448
19;-80;-160;NO_ACTION;23,588116645751;83
17;-80;-160;ROLL_LEFT;35,7987602889554;102
17;-80;-160;ROLL_RIGHT;33,6197246781306;129
17;-80;-160;NO_ACTION;33,3877382608114;514
16;-100;-160;ROLL_LEFT;59,43945682157;300
16;-100;-160;ROLL_RIGHT;52,981515691787;63
16;-100;-160;NO_ACTION;43,6226463724994;47
15;-120;-160;ROLL_LEFT;87,218333754507;230
15;-120;-160;ROLL_RIGHT;57,0253704628655;33
15;-120;-160;NO_ACTION;57,5394102544949;28
12;-120;-160;ROLL_LEFT;107,614734894373;277
12;-120;-160;ROLL_RIGHT;87,9923783585292;44
12;-120;-160;NO_ACTION;92,6344007232153;42
11;-120;-160;ROLL_LEFT;115,370163019643;329
11;-120;-160;ROLL_RIGHT;93,6737028867766;48
11;-120;-160;NO_ACTION;93,6723344781411;36
9;-100;-160;ROLL_LEFT;89,6922010591952;524
9;-100;-160;ROLL_RIGHT;90,822346008659;125
9;-100;-160;NO_ACTION;86,667725984503;86
8;-100;-160;ROLL_LEFT;91,9580604961659;556
8;-100;-160;ROLL_RIGHT;89,9451907914079;81
8;-100;-160;NO_ACTION;90,9614444060322;123
7;-100;-160;ROLL_LEFT;91,0604880957235;196
7;-100;-160;ROLL_RIGHT;90,9209306783423;348
7;-100;-160;NO_ACTION;90,0509391212147;191
6;-80;-160;ROLL_LEFT;84,3700919162378;150
6;-80;-160;ROLL_RIGHT;80,5659241289829;698
6;-80;-160;NO_ACTION;86,4341605976183;287
5;-80;-160;ROLL_LEFT;90,5782337788621;748
5;-80;-160;ROLL_RIGHT;86,591890226547;112
5;-80;-160;NO_ACTION;89,1600869262407;119
3;-100;-160;ROLL_LEFT;111,816622343765;88
3;-100;-160;ROLL_RIGHT;108,406090038099;61
3;-100;-160;NO_ACTION;111,709979562704;530
2;-80;-160;ROLL_LEFT;114,231604000605;112
2;-80;-160;ROLL_RIGHT;113,672146888755;682
2;-80;-160;NO_ACTION;116,229459921385;283
1;-100;-160;ROLL_LEFT;126,704195099175;83
1;-100;-160;ROLL_RIGHT;129,040557862586;566
1;-100;-160;NO_ACTION;127,508874371326;117
1;80;160;ROLL_LEFT;150,300276795916;194
1;80;160;ROLL_RIGHT;149,855183410678;604
1;80;160;NO_ACTION;152,359807206786;164
3;100;160;ROLL_LEFT;164,758812374983;467
3;100;160;ROLL_RIGHT;46,9711194945671;53
3;100;160;NO_ACTION;47,6532115041323;59
4;100;160;ROLL_LEFT;164,165102271327;455
4;100;160;ROLL_RIGHT;44,6061815662931;45
4;100;160;NO_ACTION;49,8359734813625;62
6;100;160;ROLL_LEFT;157,909327094703;374
6;100;160;ROLL_RIGHT;42,061405802015;47
6;100;160;NO_ACTION;38,6825309686931;51
7;80;160;ROLL_LEFT;156,903450692631;417
7;80;160;ROLL_RIGHT;45,6859079054792;51
7;80;160;NO_ACTION;43,3948296892394;41
8;100;160;ROLL_LEFT;145,465199698994;267
8;100;160;ROLL_RIGHT;15,034116114709;30
8;100;160;NO_ACTION;27,438566610894;30
9;100;160;ROLL_LEFT;139,385778256489;273
9;100;160;ROLL_RIGHT;16,5222587635519;23
9;100;160;NO_ACTION;4,20662220264573;21
10;80;160;ROLL_LEFT;155,88443932721;273
10;80;160;ROLL_RIGHT;29,2787416650945;33
10;80;160;NO_ACTION;26,526630226393;36
11;80;160;ROLL_LEFT;147,910681623595;253
11;80;160;ROLL_RIGHT;13,2476025729227;32
11;80;160;NO_ACTION;11,6421745151412;28
15;60;160;ROLL_LEFT;126,874914606962;165
15;60;160;ROLL_RIGHT;-17,9657197812768;20
15;60;160;NO_ACTION;-8,51803164735271;18
15;40;160;ROLL_LEFT;138,431740616472;213
15;40;160;ROLL_RIGHT;-1,52440112659749;23
15;40;160;NO_ACTION;-24,2653718379861;20
16;60;160;ROLL_LEFT;101,393832321224;135
16;60;160;ROLL_RIGHT;-23,3926533676361;16
16;60;160;NO_ACTION;-34,8259379699561;18
17;60;160;ROLL_LEFT;99,9569928498585;103
17;60;160;ROLL_RIGHT;-23,66563113933;21
17;60;160;NO_ACTION;-32,0694655765145;20
18;60;160;ROLL_LEFT;100,964102943418;115
18;60;160;ROLL_RIGHT;-30,0085551302643;18
18;60;160;NO_ACTION;-32,124172083816;14
20;80;160;ROLL_LEFT;87,7765684116789;106
20;80;160;ROLL_RIGHT;-24,6091393795386;12
20;80;160;NO_ACTION;-27,1793594409587;8
21;80;160;ROLL_LEFT;83,0992719867702;102
21;80;160;ROLL_RIGHT;-36,3294132920659;13
21;80;160;NO_ACTION;-28,5219656228277;8
22;80;160;ROLL_LEFT;84,5456567737319;104
22;80;160;ROLL_RIGHT;-30,3269602233547;9
22;80;160;NO_ACTION;-41,968970094531;11
23;80;160;ROLL_LEFT;76,994389706855;85
23;80;160;ROLL_RIGHT;-35,7808719254941;18
23;80;160;NO_ACTION;-45,9768154260869;15
24;100;160;ROLL_LEFT;68,6895029206447;90
24;100;160;ROLL_RIGHT;-32,4847048636025;8
