Distance;Current_Velocity;Target_Velocity;Move;Value;Times
20;80;160;ROLL_RIGHT;-10,0000001490116;1
20;80;160;NO_ACTION;0;0
21;80;160;ROLL_LEFT;0;0
21;80;160;ROLL_RIGHT;-9,90500014737249;1
21;80;160;NO_ACTION;-9,90500014737249;1
22;100;160;ROLL_LEFT;2,00402500628643;2
22;100;160;ROLL_RIGHT;0;0
22;100;160;NO_ACTION;-10,0000001490116;1
23;100;160;ROLL_LEFT;0;0
23;100;160;ROLL_RIGHT;0;0
23;100;160;NO_ACTION;-10,0000001490116;1
24;80;160;ROLL_LEFT;0;0
24;80;160;ROLL_RIGHT;0;0
24;80;160;NO_ACTION;-10,0000001490116;1
25;80;160;ROLL_LEFT;1,00000001490116;1
25;80;160;ROLL_RIGHT;0;0
25;80;160;NO_ACTION;-9,90500014737249;1
24;-100;160;ROLL_LEFT;1,00000001490116;1
24;-100;160;ROLL_RIGHT;0;0
24;-100;160;NO_ACTION;0;0
23;-120;160;ROLL_LEFT;0;0
23;-120;160;ROLL_RIGHT;-10,0000001490116;1
23;-120;160;NO_ACTION;-10,0000001490116;1
21;-120;160;ROLL_LEFT;0;0
21;-120;160;ROLL_RIGHT;-9,89597514719553;1
21;-120;160;NO_ACTION;0;0
20;-100;160;ROLL_LEFT;2,09927651795608;2
20;-100;160;ROLL_RIGHT;0;0
20;-100;160;NO_ACTION;0;0
18;-100;160;ROLL_LEFT;5,18981743641046;6
18;-100;160;ROLL_RIGHT;0;0
18;-100;160;NO_ACTION;0;0
17;-120;160;ROLL_LEFT;2,08050000531971;2
17;-120;160;ROLL_RIGHT;-10,0000001490116;1
17;-120;160;NO_ACTION;-10,0000001490116;1
15;-120;160;ROLL_LEFT;0;0
15;-120;160;ROLL_RIGHT;-9,8951177721767;1
15;-120;160;NO_ACTION;-10,0000001490116;1
14;-100;160;ROLL_LEFT;3,00179657808572;3
14;-100;160;ROLL_RIGHT;0;0
14;-100;160;NO_ACTION;-9,81137764821816;1
13;-100;160;ROLL_LEFT;1,98550000368059;2
13;-100;160;ROLL_RIGHT;-9,89494978433352;1
13;-100;160;NO_ACTION;0;0
11;-120;160;ROLL_LEFT;2,09122732357434;2
11;-120;160;ROLL_RIGHT;0;0
11;-120;160;NO_ACTION;0;0
9;-140;160;ROLL_LEFT;2,81162719626374;3
9;-140;160;ROLL_RIGHT;0;0
9;-140;160;NO_ACTION;-10,0000001490116;1
2;-120;160;ROLL_LEFT;4,07959446519286;4
2;-120;160;ROLL_RIGHT;0;0
2;-120;160;NO_ACTION;-10,0000001490116;1
1;-120;160;ROLL_LEFT;4,03014601003879;4
1;-120;160;ROLL_RIGHT;-9,72561663942056;1
1;-120;160;NO_ACTION;-18,7256165351124;2
2;120;-160;ROLL_LEFT;-18,6250938373442;2
2;120;-160;ROLL_RIGHT;6,48119467185752;8
2;120;-160;NO_ACTION;-27,1284997367412;3
4;100;-160;ROLL_LEFT;-18,519350433745;2
4;100;-160;ROLL_RIGHT;4,50017155975578;5
4;100;-160;NO_ACTION;-10,0000001490116;1
5;80;-160;ROLL_LEFT;-9,88785264725145;1
5;80;-160;ROLL_RIGHT;3,16976728379139;3
5;80;-160;NO_ACTION;-19,0000000447035;2
6;80;-160;ROLL_LEFT;-18,7825104142946;2
6;80;-160;ROLL_RIGHT;2,04392156407192;2
6;80;-160;NO_ACTION;-19,0040249731699;2
7;60;-160;ROLL_LEFT;-26,9685466025929;3
7;60;-160;ROLL_RIGHT;1,44561041434679;1
7;60;-160;NO_ACTION;-19,0000000447035;2
8;40;-160;ROLL_LEFT;-10,0000001490116;1
8;40;-160;ROLL_RIGHT;9,44658509974487;10
8;40;-160;NO_ACTION;-26,64445886349;3
9;40;-160;ROLL_LEFT;0;0
9;40;-160;ROLL_RIGHT;11,4771059636907;12
9;40;-160;NO_ACTION;0;0
9;60;-160;ROLL_LEFT;-18,3706910748077;2
9;60;-160;ROLL_RIGHT;6,88976590611504;7
9;60;-160;NO_ACTION;-26,39798401882;3
10;40;-160;ROLL_LEFT;0;0
