Timestamp;Agent Implementation;World Name ;Level Number;Collectibles Collected;Collectibles to Catch;Passed Level?;Elapsed Game Time (s);Time Limit (s);Elapsed Real Time (s);Score;Endgame Message
2022-10-06_19:57:54;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;2;2;5;0;120,000005699694;120;2,014;200;
2022-10-06_19:57:56;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;2;0;5;0;120,000005699694;120;2,032;0;
2022-10-06_19:57:57;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;2;1;5;0;120,000005699694;120;1,652;100;
2022-10-06_19:57:59;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;2;2;5;0;120,000005699694;120;2,047;200;
2022-10-06_19:58:01;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;2;2;5;0;120,000005699694;120;1,979;200;
2022-10-06_19:58:03;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;2;2;5;0;120,000005699694;120;1,987;200;
2022-10-06_19:58:05;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;2;2;5;0;120,000005699694;120;1,982;200;
2022-10-06_19:58:07;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;2;2;5;0;120,000005699694;120;1,956;200;
2022-10-06_19:58:09;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;3;0;1;0;120,000005699694;120;1,895;0;
2022-10-06_19:58:11;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;3;0;1;0;120,000005699694;120;2,132;0;
2022-10-06_19:58:13;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;3;0;1;0;120,000005699694;120;2,02;0;
2022-10-06_19:58:15;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;3;0;1;0;120,000005699694;120;2,082;0;
2022-10-06_19:58:18;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;3;0;1;0;120,000005699694;120;2,068;0;
2022-10-06_19:58:19;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;3;0;1;0;120,000005699694;120;1,508;0;
2022-10-06_19:58:21;GeometryFriendsAgents;GF-CoG 2022 - Cooperation Track;3;0;1;0;120,000005699694;120;1,646;0;
