Distance_x;Distance_y;Current_velocity_x;Height;Hole_width;Action;Value
-3;13;0;12;15;NO_ACTION;-4,39920143401236
-3;13;-10;12;15;MOVE_LEFT;-3,40123275288234
-3;13;-10;12;15;MOVE_RIGHT;-3,57656027280928
-3;13;-10;12;15;MORPH_UP;-3,47178667663472
-3;13;-10;12;15;MORPH_DOWN;-3,45825295473898
-3;13;-10;12;15;NO_ACTION;-3,50073540260401
-3;11;-10;10;15;MOVE_LEFT;-3,10829675775585
-3;11;-10;10;15;MOVE_RIGHT;-3,2695238047777
-3;11;-10;10;15;MORPH_UP;-3,13152468307011
-3;11;-10;10;15;MORPH_DOWN;-3,17689846763435
-3;11;-10;10;15;NO_ACTION;-3,27013256744504
-3;9;0;8;15;MOVE_LEFT;-3,3826978466788
-3;9;0;8;15;MOVE_RIGHT;-3,39594685330159
-3;9;0;8;15;MORPH_UP;-3,50890715561571
-3;9;0;8;15;MORPH_DOWN;-3,20356486006783
-3;9;0;8;15;NO_ACTION;-3,94455685840366
-3;12;10;11;15;MOVE_LEFT;-2,65686163648981
-3;12;10;11;15;MOVE_RIGHT;-2,55383795129904
-3;12;10;11;15;MORPH_UP;-2,68674285832723
-3;12;10;11;15;MORPH_DOWN;-2,62127643227005
-3;12;10;11;15;NO_ACTION;-2,55856473634789
-3;10;0;10;15;MOVE_LEFT;-1,34145427063324
-3;10;0;10;15;MOVE_RIGHT;-1,42412962445135
-3;10;0;10;15;MORPH_UP;-1,52041169585379
-3;10;0;10;15;MORPH_DOWN;-1,53727598525786
-3;10;0;10;15;NO_ACTION;-1,53262917929638
-3;11;0;10;15;MOVE_LEFT;-3,5289607597144
-3;11;0;10;15;MOVE_RIGHT;-3,62244376164316
-3;11;0;10;15;MORPH_UP;-3,57069455373297
-3;11;0;10;15;MORPH_DOWN;-3,49581469538124
-3;11;0;10;15;NO_ACTION;-3,55507913425574
-3;10;10;9;15;MOVE_LEFT;-2,74935884248055
-3;10;10;9;15;MOVE_RIGHT;-2,52821973759229
-3;10;10;9;15;MORPH_UP;-2,62494997009596
-3;10;10;9;15;MORPH_DOWN;-2,62980956152405
-3;10;10;9;15;NO_ACTION;-2,61158495718506
-3;10;0;9;15;MOVE_LEFT;-2,7657481573627
-3;10;0;9;15;MOVE_RIGHT;-2,86454219038429
-3;10;0;9;15;MORPH_UP;-3,09239972427073
-3;10;0;9;15;MORPH_DOWN;-2,87517240074897
-3;10;0;9;15;NO_ACTION;-3,15411137789874
-4;10;-20;9;15;MOVE_LEFT;-2,38364684619869
-4;10;-20;9;15;MOVE_RIGHT;-2,45355520502202
-4;10;-20;9;15;MORPH_UP;-2,52317737815338
-4;10;-20;9;15;MORPH_DOWN;-2,40607436139072
-4;10;-20;9;15;NO_ACTION;-2,38286520474791
-4;8;-20;8;15;MOVE_LEFT;-0,100000001490116
-4;8;-20;8;15;MOVE_RIGHT;-0,303662942308987
-4;8;-20;8;15;MORPH_UP;0
-4;8;-20;8;15;MORPH_DOWN;-0,195579324506742
-4;8;-20;8;15;NO_ACTION;0
-4;8;-30;7;15;MOVE_LEFT;-1,93338600128459
-4;8;-30;7;15;MOVE_RIGHT;-2,1810968199345
-4;8;-30;7;15;MORPH_UP;-2,02244049332744
-4;8;-30;7;15;MORPH_DOWN;-2,17839286607802
-4;8;-30;7;15;NO_ACTION;-2,09173387816601
-5;8;-50;7;15;MOVE_LEFT;-1,8140151666001
-5;8;-50;7;15;MOVE_RIGHT;-2,0054595785634
-5;8;-50;7;15;MORPH_UP;-1,6771187676936
-5;8;-50;7;15;MORPH_DOWN;-1,63503693189594
-5;8;-50;7;15;NO_ACTION;-1,83795226950655
-5;8;-40;7;15;MOVE_LEFT;-2,43447791977619
-5;8;-40;7;15;MOVE_RIGHT;-2,60325038200932
-5;8;-40;7;15;MORPH_UP;-2,43429097284887
-5;8;-40;7;15;MORPH_DOWN;-2,53241802874093
-5;8;-40;7;15;NO_ACTION;-2,5926960679973
-5;8;30;7;15;MOVE_LEFT;-3,50178474923705
-5;8;30;7;15;MOVE_RIGHT;-3,03652831204828
-5;8;30;7;15;MORPH_UP;-3,08402523867354
-5;8;30;7;15;MORPH_DOWN;-3,24725095355767
-5;8;30;7;15;NO_ACTION;-3,07099961291724
-5;12;30;11;15;MOVE_LEFT;-2,89407439177117
-5;12;30;11;15;MOVE_RIGHT;-2,50935627482165
-5;12;30;11;15;MORPH_UP;-2,66162952671899
-5;12;30;11;15;MORPH_DOWN;-2,47782961430095
-5;12;30;11;15;NO_ACTION;-2,56286317009337
-5;10;20;10;15;MOVE_LEFT;-1,33234829170057
-5;10;20;10;15;MOVE_RIGHT;-0,597629296259269
-5;10;20;10;15;MORPH_UP;-0,636044227197206
-5;10;20;10;15;MORPH_DOWN;-1,10462980628223
-5;10;20;10;15;NO_ACTION;-0,740245393737323
-4;10;20;9;15;MOVE_LEFT;-3,29649736779037
-4;10;20;9;15;MOVE_RIGHT;-3,2386660709888
-4;10;20;9;15;MORPH_UP;-3,28849180231625
-4;10;20;9;15;MORPH_DOWN;-3,22425055672059
-4;10;20;9;15;NO_ACTION;-3,37852787761772
-4;10;0;9;15;MOVE_LEFT;-3,25241335583611
-4;10;0;9;15;MOVE_RIGHT;-3,28197076837205
-4;10;0;9;15;MORPH_UP;-3,29560668092975
-4;10;0;9;15;MORPH_DOWN;-3,32128679973875
-4;10;0;9;15;NO_ACTION;-3,38605146304596
-4;10;10;9;15;MOVE_LEFT;-3,45651025285284
-4;10;10;9;15;MOVE_RIGHT;-3,50209971887335
-4;10;10;9;15;MORPH_UP;-3,4909823897627
-4;10;10;9;15;MORPH_DOWN;-3,46885685101592
-4;10;10;9;15;NO_ACTION;-3,39805659411296
-4;8;10;7;15;MOVE_LEFT;-3,64071984287687
-4;8;10;7;15;MOVE_RIGHT;-3,67557522613116
-4;8;10;7;15;MORPH_UP;-3,68022169210162
-4;8;10;7;15;MORPH_DOWN;-3,6555954996592
-4;8;10;7;15;NO_ACTION;-3,77450973232708
-4;8;-10;7;15;MOVE_LEFT;-3,32736080705744
-4;8;-10;7;15;MOVE_RIGHT;-3,60912574552203
-4;8;-10;7;15;MORPH_UP;-3,45443943989648
-4;8;-10;7;15;MORPH_DOWN;-3,40531926590818
-4;8;-10;7;15;NO_ACTION;-3,56580410838711
-4;6;0;6;15;MOVE_LEFT;-0,596951168436607
-4;6;0;6;15;MOVE_RIGHT;-0,334276584861648
-4;6;0;6;15;MORPH_UP;-0,376505576512796
-4;6;0;6;15;MORPH_DOWN;-0,460390046055404
-4;6;0;6;15;NO_ACTION;-0,510943885471983
-4;9;-10;8;15;MOVE_LEFT;-3,67343120633619
-4;9;-10;8;15;MOVE_RIGHT;-3,72954184227775
-4;9;-10;8;15;MORPH_UP;-3,7440618043068
-4;9;-10;8;15;MORPH_DOWN;-3,69376227458063
-4;9;-10;8;15;NO_ACTION;-3,94849960887777
-5;13;-10;12;15;MOVE_LEFT;-4,35082750118459
-5;13;-10;12;15;MOVE_RIGHT;-4,35302037663755
-5;13;-10;12;15;MORPH_UP;-4,53917346905286
-5;13;-10;12;15;MORPH_DOWN;-4,38668076835089
-5;13;-10;12;15;NO_ACTION;-4,46909595963859
-5;13;10;12;15;MOVE_LEFT;-4,52012591799834
-5;13;10;12;15;MOVE_RIGHT;-4,41016002156983
-5;13;10;12;15;MORPH_UP;-4,44425300434345
-5;13;10;12;15;MORPH_DOWN;-4,43330934090978
-5;13;10;12;15;NO_ACTION;-4,46725582844466
-4;13;10;12;15;MOVE_LEFT;-4,02821983733127
-4;13;10;12;15;MOVE_RIGHT;-4,02297335423418
-4;13;10;12;15;MORPH_UP;-4,01771436127982
-4;13;10;12;15;MORPH_DOWN;-4,00498479908625
-4;13;10;12;15;NO_ACTION;-4,19100091942408
-4;13;0;12;15;MOVE_LEFT;-4,30738321438875
-4;13;0;12;15;MOVE_RIGHT;-4,33284187415548
-4;13;0;12;15;MORPH_UP;-4,57167188278662
-4;13;0;12;15;MORPH_DOWN;-4,35057087160639
-4;13;0;12;15;NO_ACTION;-4,4552468923181
-4;11;0;10;15;MOVE_LEFT;-4,02776383400994
-4;11;0;10;15;MOVE_RIGHT;-4,02861911833236
-4;11;0;10;15;MORPH_UP;-4,00408602832258
-4;11;0;10;15;MORPH_DOWN;-4,0461988080323
-4;11;0;10;15;NO_ACTION;-4,15334687580231
-4;11;-20;10;15;MOVE_LEFT;-3,16054979528664
-4;11;-20;10;15;MOVE_RIGHT;-3,28067021180716
-4;11;-20;10;15;MORPH_UP;-3,27954441310146
-4;11;-20;10;15;MORPH_DOWN;-3,27648268639446
-4;11;-20;10;15;NO_ACTION;-3,33459275683663
-5;11;0;10;15;MOVE_LEFT;-4,42522137375046
-5;11;0;10;15;MOVE_RIGHT;-4,29603931632701
-5;11;0;10;15;MORPH_UP;-4,45314312767697
-5;11;0;10;15;MORPH_DOWN;-4,55380703014999
-5;11;0;10;15;NO_ACTION;-4,49376131562282
-5;9;0;8;15;MOVE_LEFT;-4,61055960503317
-5;9;0;8;15;MOVE_RIGHT;-4,60488596024031
-5;9;0;8;15;MORPH_UP;-4,79549547012497
-5;9;0;8;15;MORPH_DOWN;-4,32454052188118
-5;9;0;8;15;NO_ACTION;-4,78186175631748
-5;6;0;6;15;MOVE_LEFT;-1,05322027991841
